nom_commune_postal;code_postal;latitude;longitude;code_departement
L ABERGEMENT CLEMENCIAT;1400;46.1534255214;4.92611354223;1
L ABERGEMENT DE VAREY;1640;46.0091878776;5.42801696363;1
AMBERIEU EN BUGEY;1500;45.9608475114;5.3729257777;1
AMBERIEUX EN DOMBES;1330;45.9961799872;4.91227250796;1
AMBLEON;1300;45.7494989044;5.59432017366;1
AMBRONAY;1500;46.0055913782;5.35760660735;1
AMBUTRIX;1500;45.9367134524;5.3328092349;1
ANDERT ET CONDON;1300;45.7873565333;5.65788307924;1
ANGLEFORT;1350;45.9093715116;5.79516005674;1
APREMONT;1100;46.2054981558;5.65781475272;1
ARANC;1110;46.0015344029;5.51130637511;1
ARANDAS;1230;45.8908155275;5.49870439091;1
ARBENT;1100;46.2834936005;5.69061651221;1
ARBOYS EN BUGEY;1300;45.7237621545;5.65263086429;1
ARBIGNY;1190;46.4776762988;4.9599416863;1
ARGIS;1230;45.9337182132;5.48251100314;1
ARMIX;1510;45.8541838459;5.58357838695;1
ARS SUR FORMANS;1480;45.9934611;4.82199649494;1
ARTEMARE;1510;45.8695891748;5.69065283943;1
ASNIERES SUR SAONE;1570;46.3857281418;4.88387478623;1
ATTIGNAT;1340;46.2861802203;5.1795233845;1
BAGE LA VILLE;1380;46.3233203302;4.9528678933;1
BAGE LE CHATEL;1380;46.3077069231;4.92862084189;1
BALAN;1360;45.8311226453;5.10780019249;1
BANEINS;1990;46.1141214445;4.90146475101;1
BEAUPONT;1270;46.4288360203;5.26003405676;1
BEAUREGARD;1480;46.0008580204;4.75600664694;1
BELLIGNAT;1100;46.2373497134;5.6360052884;1
BELIGNEUX;1360;45.8591464826;5.13989505865;1
BELLEGARDE SUR VALSERINE;1200;46.1067901755;5.83202736464;1
BELLEY;1300;45.7494697806;5.68412365526;1
BELLEYDOUX;1130;46.2530316409;5.78471723698;1
BELMONT LUTHEZIEU;1260;45.8847475883;5.65115788055;1
BENONCES;1470;45.8374974718;5.48285330863;1
BENY;1370;46.3188629218;5.28253433405;1
BEON;1350;45.8568920052;5.75220315052;1
BEREZIAT;1340;46.3674371012;5.04021655965;1
BETTANT;1500;45.9368718303;5.36667617009;1
BEY;1290;46.2191748844;4.84642690241;1
BEYNOST;1700;45.8390325448;4.99738002182;1
BILLIAT;1200;46.0791346715;5.76591818163;1
BIRIEUX;1330;45.9533995502;5.03666479984;1
BIZIAT;1290;46.2266794269;4.94084673168;1
BLYES;1150;45.8469686113;5.25166055884;1
LA BOISSE;1120;45.8446213549;5.02783224111;1
BOISSEY;1190;46.3727973545;4.9989764059;1
BOISSEY;1380;46.3727973545;4.9989764059;1
BOLOZON;1450;46.1960338503;5.47095075411;1
BOULIGNEUX;1330;46.0232774841;4.99252709276;1
BOURG EN BRESSE;1000;46.2051520382;5.24602125501;1
BOURG ST CHRISTOPHE;1800;45.8861934456;5.14349196896;1
BOYEUX ST JEROME;1640;46.0363677631;5.46322744717;1
BOZ;1190;46.4051688134;4.9135797178;1
BREGNIER CORDON;1300;45.6416854652;5.61653371;1
BRENAZ;1260;45.9500082947;5.7371892334;1
BRENOD;1110;46.0759940484;5.61418361314;1
BRENS;1300;45.7135069062;5.68998154517;1
BRESSOLLES;1360;45.869423064;5.1009428902;1
BRION;1460;46.1686327301;5.54656422194;1
BRIORD;1470;45.7708330939;5.48537461884;1
BUELLAS;1310;46.2104135162;5.14487465017;1
LA BURBANCHE;1510;45.8598709332;5.54609714598;1
CEIGNES;1430;46.1256533435;5.49457379202;1
CERDON;1450;46.0720202633;5.47577586118;1
CERTINES;1240;46.1337950959;5.26239539372;1
CESSY;1170;46.315689376;6.0779844362;1
CEYZERIAT;1250;46.1832170988;5.32007207542;1
CEYZERIEU;1350;45.8335530148;5.71933090966;1
CHALAMONT;1320;46.0076491739;5.16936568;1
CHALEINS;1480;46.0340545373;4.79853838574;1
CHALEY;1230;45.9533367734;5.53682505273;1
CHALLES LA MONTAGNE;1450;46.1221539654;5.45755377201;1
CHALLEX;1630;46.1768358327;5.97115092939;1
CHAMPAGNE EN VALROMEY;1260;45.9316447397;5.69321890072;1
CHAMPDOR CORCELLES;1110;46.0198844188;5.60008759722;1
CHAMPFROMIER;1410;46.220365768;5.82233573131;1
CHANAY;1420;46.005695299;5.76893393185;1
CHANEINS;1990;46.0934984191;4.85473364691;1
CHANOZ CHATENAY;1400;46.1861812234;5.02807719246;1
LA CHAPELLE DU CHATELARD;1240;46.0744536905;5.02162055898;1
CHARIX;1130;46.1856344066;5.6811896084;1
CHARNOZ SUR AIN;1800;45.8736786869;5.2211032563;1
CHATEAU GAILLARD;1500;45.9730390239;5.30754273532;1
CHATENAY;1320;46.0259402155;5.2048590395;1
CHATILLON EN MICHAILLE;1200;46.1293337743;5.770176021;1
CHATILLON LA PALUD;1320;45.9748017433;5.2416027725;1
CHATILLON SUR CHALARONNE;1400;46.1232390685;4.95810003714;1
CHAVANNES SUR REYSSOUZE;1190;46.4379785193;5.00693749662;1
CHAVANNES SUR SURAN;1250;46.2750157946;5.41649423093;1
CHAVEYRIAT;1660;46.1991513767;5.0564069258;1
CHAVORNAY;1510;45.8824049535;5.72499814516;1
CHAZEY BONS;1300;45.7925770617;5.68477063188;1
CHAZEY SUR AIN;1150;45.8929448968;5.25528498524;1
CHEIGNIEU LA BALME;1510;45.8227204334;5.6050023969;1
CHEVILLARD;1430;46.1103512578;5.58116056005;1
CHEVROUX;1190;46.38249255;4.96288275972;1
CHEVRY;1170;46.283152935;6.04707941462;1
CHEZERY FORENS;1200;46.222573373;5.87248105275;1
CHEZERY FORENS;1410;46.222573373;5.87248105275;1
CIVRIEUX;1390;45.922467454;4.88633786877;1
CIZE;1250;46.2003848172;5.45082526739;1
CLEYZIEU;1230;45.902146623;5.43272695486;1
COLIGNY;1270;46.3866637865;5.3308227014;1
COLLONGES;1550;46.1419227898;5.90040256654;1
COLOMIEU;1300;45.7361469025;5.62670101041;1
CONAND;1230;45.8834810846;5.47541328981;1
CONDAMINE;1430;46.105831161;5.55568206762;1
CONDEISSIAT;1400;46.1538469834;5.08437171701;1
CONFORT;1200;46.1543700156;5.83319395258;1
CONFRANCON;1310;46.270304175;5.05775217893;1
CONTREVOZ;1300;45.8009403071;5.62087768159;1
CONZIEU;1300;45.7253102173;5.60442351043;1
CORBONOD;1420;45.9659473187;5.78961970355;1
CORLIER;1110;46.0336885573;5.49635755029;1
CORMARANCHE EN BUGEY;1110;45.9442772826;5.60860828487;1
CORMORANCHE SUR SAONE;1290;46.2403530179;4.8276569593;1
CORMOZ;1560;46.4336632942;5.22181275755;1
CORVEISSIAT;1250;46.2505107235;5.47152467919;1
COURMANGOUX;1370;46.3267864521;5.35558241812;1
COURTES;1560;46.4570082032;5.11128546723;1
CRANS;1320;45.9663793103;5.19490390871;1
CRAS SUR REYSSOUZE;1340;46.3130831891;5.17796707174;1
CRESSIN ROCHEFORT;1350;45.7826434885;5.76546256637;1
CROTTET;1290;46.283072336;4.87747971182;1
CROTTET;1750;46.283072336;4.87747971182;1
CROZET;1170;46.2915659686;5.99510417092;1
CRUZILLES LES MEPILLAT;1290;46.2220588715;4.8752193513;1
CULOZ;1350;45.8559966843;5.78398308932;1
